Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,Net New Policies by Product and Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Product,Band,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,,12 Month,Total,Total,Total,Total,Total,,YTD,YTD,,,,
,,,,,,,,,,,,,,,,,,Average,2021,2022,2023,2024,2025,,2025,2026,,,,
,,Policies,AD Only,Band 2 - €201 - €400,4003,3999,3767,4169,3590,3709,3884,4285,3739,3844,3559,3577,,3843.75,5072,5711,5297,4620,0,,3492,3577,,,,
,,Policies,AD Only,Band 3 - €401 - €600,3489,3595,3710,3109,3655,3227,3632,3442,3448,3771,3310,3420,,3484,1995,2758,2652,2114,0,,3280,3420,,,,
,,Policies,AD Only,Band 4 - €601 - €950,3475,3533,3735,4072,3923,4043,3920,3693,3849,3798,3656,3736,,3786.0833333333335,5172,6030,5563,3997,0,,3774,3736,,,,
,,Policies,AD Only,Band 5 - €951 - €1200,3729,3789,3630,3639,4085,3722,3450,3771,3768,3729,4087,3654,,3754.4166666666665,2445,2518,2982,2572,0,,3824,3654,,,,
,,Policies,AD Only,Band 6 - €1201 - €1500,3913,4360,4045,4056,3824,4302,4107,3791,4012,3863,3943,3768,,3998.6666666666665,2579,3717,4466,4305,0,,3945,3768,,,,
,,Policies,D - May 18 to Apr 24,Band 1 - €0 - €200,4096,4283,3906,3626,3558,3673,4303,3879,3447,3955,3470,3507,,3808.5833333333335,3783,3947,4079,3626,0,,3984,3507,,,,
,,Policies,Theft Only,Band 2 - €201 - €400,3943,3899,3683,3781,4029,3901,4129,3710,4482,4084,3897,4093,,3969.25,6041,6955,7492,7129,0,,3991,4093,,,,
,,Policies,Theft Only,Band 3 - €401 - €600,4062,3763,4042,3952,3906,3626,3762,3858,3900,4077,3984,3910,,3903.5,3586,4430,4968,4436,0,,3630,3910,,,,
,,Policies,Theft Only,Band 4 - €601 - €950,4024,3979,3850,4459,4367,3772,4231,3872,3901,3845,4305,4275,,4073.3333333333335,6637,6836,7831,7566,0,,4139,4275,,,,
,,Policies,Theft Only,Band 5 - €951 - €1200,3985,4039,3914,3397,3814,4185,3799,3822,4063,3923,4277,4081,,3941.5833333333335,3265,4031,3640,3456,0,,3935,4081,,,,
,,Policies,Theft Only,Band 6 - €1201 - €1500,4319,4059,3908,4011,4653,4032,4461,4635,4143,4227,4724,4503,,4306.25,3734,5689,7752,6764,0,,4306,4503,,,,
,,Policies,E - Apr 24 to present,Band 1 - €0 - €200,1198,697,613,611,976,702,741,711,793,794,654,709,,766.5833333333334,0,0,0,2364,0,,316,709,,,,
