Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Monthly Analysis - January 2026,,,,,,,,,,,,,,,,Return,,,,,,,,,,,,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sales Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Policy Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
,,New Policy Volume,,,Sales Month,,,,,,,,,,,,,,,,,,,,,,,,,
,,Measure,Inception,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,,YTD,,,,,,,,,,,,
,,Measure,Year,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New Business,2013,13816,17220,13554,2655,17765,14089,2864,6584,18812,9005,16502,1035,133901,,13816,,,,,,,,,,,,
,,Policies,2014,5850,6465,19743,16984,2416,12296,2258,17480,12198,5476,14292,10673,126131,,5850,,,,,,,,,,,,
,,Policies,2015,9569,4061,6460,12281,19793,3150,3689,15529,10852,1127,18113,9928,114552,,9569,,,,,,,,,,,,
,,Policies,2016,8146,565,3925,7881,3301,11261,13159,13809,3597,18226,17211,1002,102083,,8146,,,,,,,,,,,,
,,Policies,2017,4983,14568,11780,6426,3075,17504,10545,1648,12476,8368,3569,4780,99722,,4983,,,,,,,,,,,,
,,Policies,2018,380,7325,15837,8338,7078,18962,16413,17797,2617,12875,1496,900,110018,,380,,,,,,,,,,,,
,,Policies,2019,10940,4705,4860,17783,6504,11698,10668,16359,12377,16598,1850,15172,129514,,10940,,,,,,,,,,,,
,,Policies,2020,9570,18950,13037,8340,8380,15747,5062,4831,4701,15672,18483,17366,140139,,9570,,,,,,,,,,,,
,,Policies,2021,358,10006,16685,10516,16259,746,579,11969,3035,3625,1884,17920,93582,,358,,,,,,,,,,,,
,,Policies,2022,5920,69,11735,18757,14087,15379,1762,6550,16676,18865,13661,10019,133480,,5920,,,,,,,,,,,,
,,Policies,2023,3392,10264,8453,19610,10791,8350,17745,4292,15680,5932,8009,12900,125418,,3392,,,,,,,,,,,,
,,Policies,2024,11417,14650,4093,8026,19470,4406,6172,1356,18870,16433,15774,8125,128792,,11417,,,,,,,,,,,,
,,Policies,2025,8404,17179,11121,16154,13799,594,6613,15653,19721,11509,14798,11961,147506,,8404,,,,,,,,,,,,
,,Policies,2026,6307,0,0,0,0,0,0,0,0,0,0,0,6307,,6307,,,,,,,,,,,,
